APOGEE_ID,RA,DEC,evstate,J,H,K,TEFF,LOGG,ALPHA_M,C_FE,C_N,MG_MN,MN_O,CI_FE,N_FE,O_FE,MG_FE,SI_FE,FE_H,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG
2M19310524+4123342,292.7719,41.3928,1,11.366,10.765,10.624,4554.8345,2.8038015,0.00203,0.069644004,-0.25651598,-0.12693629,0.1762858,-0.052271992,0.32615998,-0.016851813,0.032497704,-0.029584795,0.39968845,13.233221,13.928424,12.442824
2M19310681+4312130,292.7784,43.2036,1,11.016,10.45,10.357,4714.798,2.6319256,-0.020402,0.053898,-0.17773497,-0.059172794,0.074193,-0.056338996,0.23163298,-0.017671002,-0.0026507992,-0.0097630005,0.023849452,12.739257,13.349125,12.017528
2M19310767+4933118,292.782,49.5533,1,11.025,10.441,10.315,4559.036,2.539106,0.065193996,0.0908676,-0.019707002,0.1390917,-0.109425,0.1129316,0.1105746,0.0924266,0.1220933,0.0694556,-5.791504E-4,12.821626,13.467418,12.068742
2M19310818+4552406,292.7841,45.878,1,10.994,10.469,10.391,4823.4434,2.6156964,0.050604,0.0150980055,-0.17489201,0.18436769,-0.15253097,0.022890002,0.18999001,0.078794986,0.110631704,0.022379994,-0.44656155,12.599772,13.148115,11.922378
2M19310854+4227571,292.7856,42.4659,1,11.345,10.775,10.673,4577.8193,2.6276278,0.071839,0.13401501,-0.028710008,0.12170771,-0.103591,0.094736,0.16272502,0.10692,0.1250367,0.066638,0.022212451,13.112654,13.736904,12.369911
2M19310927+4901234,292.7886,49.0232,1,8.479,7.937,7.831,4609.7983,2.4465964,0.037188,-0.005397409,-0.0761084,0.101772696,-0.110301994,-0.029246002,0.070710994,0.059345998,0.0508167,0.048877,-0.16548155,10.145569,10.734152,9.45241
2M19311169+3745546,292.7987,37.7652,2,11.434,10.898,10.817,5021.4697,2.957921,-0.043290302,-0.108619995,-0.52990997,-0.1264543,10000.072,-0.16994,0.42128998,-9999.99,-0.044270292,-0.024735704,0.19694845,13.119918,13.715995,12.391708
2M19311194+4811228,292.7998,48.1897,2,9.941,9.413,9.3,4743.4717,2.4409738,7.599965E-5,-0.040052,-0.270747,-0.054603405,0.055555,-0.18408501,0.23069501,0.0025219992,0.0034735948,0.009716995,0.09080345,11.623261,12.225741,10.911451
2M19311366+3745510,292.8069,37.7642,1,10.973,10.462,10.332,4884.1143,2.8952615,-0.010021001,-0.021694,-0.30308902,-0.017999299,0.056487,-0.094285,0.28139502,-0.019964002,0.0185237,0.01224,-0.03848055,12.659991,13.265576,11.939161
2M19311398+4640026,292.8083,46.6674,1,10.952,10.396,10.28,4699.8594,2.5385106,0.018486999,-0.046087995,-0.30494797,0.005424127,0.0085449815,-0.15836999,0.25886,-0.023840994,-0.009871885,0.0043630004,-0.13435155,12.664743,13.26869,11.948196
2M19311648+4753359,292.8187,47.8933,1,10.972,10.405,10.312,4674.097,2.9468143,-0.0053970013,0.08970299,-0.238917,-0.15125129,0.20359698,0.018237978,0.32862,-0.005463004,0.04688269,0.01800698,0.34421846,12.729588,13.361066,11.994368
2M19311997+4934050,292.8332,49.5681,1,10.176,9.715,9.624,4931.2827,3.1015837,-0.010921001,-0.025984898,-0.27051002,-0.020169301,0.068431,-0.0658459,0.2445251,-0.031232897,0.0170288,-0.009585899,-0.00179365,11.709938,12.240045,11.056088
2M19312057+4925409,292.8357,49.4281,1,10.316,9.759,9.625,4638.293,2.5859294,0.159999,0.12574998,0.06724101,0.3513577,-0.324131,0.16057998,0.058508962,0.19732498,0.22455168,0.15415198,-0.31238154,11.951222,12.49399,11.226747
2M19312090+4759077,292.8371,47.9855,1,11.149,10.674,10.583,4946.275,3.07261,0.030395001,-0.0129700005,-0.12395701,0.10148269,-0.154621,-0.032362998,0.11098701,0.129325,0.07618669,0.061239988,-0.23964155,12.703715,13.234152,12.040273
2M19312198+4310412,292.8416,43.1781,1,10.54,9.973,9.838,4685.358,2.7070935,0.024489999,0.018082004,-0.16761799,0.015952703,0.009841999,-0.031522997,0.1857,0.028613003,0.054407705,0.041167006,-0.036852553,12.269615,12.888871,11.540831
